Indice,Gare
0,AIX EN PROVENCE TGV
1,ANGERS SAINT LAUD
2,ANGOULEME
3,ANNECY
4,ARRAS
5,AVIGNON TGV
6,BARCELONA
7,BELLEGARDE (AIN)
8,BESANCON FRANCHE COMTE TGV
9,BORDEAUX ST JEAN
10,BREST
11,CHAMBERY CHALLES LES EAUX
12,DIJON VILLE
13,DOUAI
14,DUNKERQUE
15,FRANCFORT
16,GENEVE
17,GRENOBLE
18,ITALIE
19,LA ROCHELLE VILLE
20,LAUSANNE
21,LAVAL
22,LE CREUSOT MONTCEAU MONTCHANIN
23,LE MANS
24,LILLE
25,LYON PART DIEU
26,MACON LOCHE
27,MADRID
28,MARNE LA VALLEE
29,MARSEILLE ST CHARLES
30,METZ
31,MONTPELLIER
32,MULHOUSE VILLE
33,NANCY
34,NANTES
35,NICE VILLE
36,NIMES
37,PARIS EST
38,PARIS LYON
39,PARIS MONTPARNASSE
40,PARIS NORD
41,PARIS VAUGIRARD
42,PERPIGNAN
43,POITIERS
44,QUIMPER
45,REIMS
46,RENNES
47,SAINT ETIENNE CHATEAUCREUX
48,ST MALO
49,ST PIERRE DES CORPS
50,STRASBOURG
51,STUTTGART
52,TOULON
53,TOULOUSE MATABIAU
54,TOURCOING
55,TOURS
56,VALENCE ALIXAN TGV
57,VANNES
58,ZURICH
